State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,6 May 2021,On the meeting with the representatives of the ICRC mission in Abkhazia,"Daur Kove, the Minister of Foreign Affairs received the representatives of the ICRC mission in the Republic of Abkhazia at the Ministry of Foreign Affairs of Abkhazia on May 5, 2021."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,2 April 2021,On the meeting of Daur Kove with Mikhail Bogdanov,"
	 Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia met with Mikhail Bogdanov, the Special Representative of the President of the Russian Federation for the Middle East and Africa, the Deputy Minister of Foreign Affairs of the Russian Federation at the Ministry of Foreign Affairs of the Russian Federation on April 2, 2021.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,15 February 2021,On Daur Kove's meeting with Dmitry Medoev,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia had a meeting with Dmitry Medoev, the acting Minister of Foreign Affairs of the Republic of South Ossetia at the Ministry of Foreign Affairs of Abkhazia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,28 January 2021,"Daur Kove received Jawad Rahman Shehriya, President of «BACP” association on the promotion of business relations with Pakistan","On January 28, Daur Kove, the Foreign Minister of Abkhazia held a meeting with Jawad Rahman, the President of ""BACP"", President of the International NGO ""Land of Pakistanis in Russia"" and Deputy Chairman of the ""Business Council on Cooperation with Pakistan"""
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,12 November 2020,On the meeting of Daur Kove with Hussein Arnous,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia met with Hussein Arnous, the Prime Minister of the Syrian Arab Republic. The meeting was held at the Cabinet of Ministers of the Syrian Arab Republic."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,13 October 2020,"On the meeting of Daur Kove with Toivo Klaar, the EU Special Representative for the South Caucasus.","
	Daur Kove, the Abkhaz Foreign Minister met with Toivo Klaar, the EU Special Representative for the South Caucasus on October 13,2020. The meeting was also attended by Björn Kuehne, the Political Adviser of the European Union Special Representative for the South Caucasus, Emmanuel Anketil, the Political Adviser in the office of the European Union Special Representative for the South Caucasus as well as Gottfried Hanne, the OSCE Political Adviser.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,29 September 2020,Daur Kove and Dmitry Medoev signed a consultation plan for 2021-2022,"On September 29, the Minister of Foreign Affairs of the Republic of Abkhazia Daur Kove met with the Minister of Foreign Affairs of the Republic of South Ossetia Dmitry Medoev, who arrived in Abkhazia on a working visit."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,19 August 2020,Daur Kove hosted a meeting with Garry Kupalba,"
	 On August 19 Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia hosted a meeting with Garry Kupalba, the Head of the Official Representation of the Pridnestrovian Moldavian Republic in the Republic of Abkhazia in the Ministry of Foreign Affairs of Abkhazia
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,21 July 2020,On the meeting at the Ministry of Health of Russia,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia met with Igor Kagramanyan, the First Deputy Minister of Health of the Russian Federation at the Ministry of Health of Russia on July 20,2020."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits/?PAGEN_1=1,Meetings of the Minister,16 July 2020,On the meeting of Daur Kove with the Chairman of the Moscow City Duma Alexey Shaposhnikov,"Daur Kove, the Abkhaz Foreign Minister, Igor Akhba, the Ambassador of the Republic of Abkhazia to the Russian Federation and Renat Karchaa, the Assistant to the President of the Republic of Abkhazia for Strategic Communications met with Alexey Shaposhnikov, the Chairman of the Moscow City Duma on July 16, in Moscow."
