State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,11 February 2021,"On Daur Kove's meeting with Mikhail Galperin, Russian Federation Commissioner to the ECHR, Deputy Minister of Justice of the Russian Federation","On February 11 within the framework of the working visit, Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia had a meetimg with Mikhail Galperin, the Commissioner of the Russian Federation at the European Court of Human Rights, Deputy Minister of Justice of the Russian Federation in Moscow in the Ministry of Justice of the Russian Federation."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,11 November 2020,Daur Kove took part in the opening ceremony of an international conference in Syria ,"
	 Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia took part in the opening ceremony of an international conference to facilitate the return of the Syrian refugees and internally displaced persons who were forced to leave Syria as a result of the conflict.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,5 October 2020,On the meeting with the Chairman of the Council of Ministers of the SAR Hussein Arnus,"On October 5, in Damascus, a meeting of the delegation of the Republic of Abkhazia, led by Alkhas Kvitsinia, with the Chairman of the Council of Ministers of the Syrian Arab Republic Hussein Arnus took place."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,5 October 2020,Daur Kove and Walid al Muallem signed an Agreement between the Government of the Republic of Abkhazia and the Government of the Syrian Arab Republic,"On October 5, the Abkhazian delegation headed by Alkhas Kvitsinia met with the Deputy Chairman of the Council of Ministers, Minister of Foreign Affairs and Expatriates Walid al Muallem at the Ministry of Foreign Affairs and Expatriates of the Syrian Arab Republic."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,5 October 2020,President of the Syrian Arab Republic Bashar al-Assad received the delegation of the Republic of Abkhazia led by Alkhas Kvitsinia.,"On October 5, the President of the Syrian Arab Republic Bashar al-Assad received the delegation of the Republic of Abkhazia, headed by Alkhas Kvitsinia at the residence of the President of Syria in Damascus."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,21 July 2019,"About the meeting of Daur Kove with Daniel Ortega, the President of Nicaragua","On July 20, 2019 the meeting between Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia and Daniel Ortega, the President of the Republic of Nicaragua was held in Managua as part of the celebrations devoted to the 40th anniversary of the Sandinista revolution."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,19 July 2019,The delegation of the Republic of Abkhazia arrived in the Republic of Nicaragua,"On July 18, 2019 the Delegation of the Republic of Abkhazia arrived with a working visit to the Republic of Nicaragua to participate in the commemoration of the 40th anniversary of the Sandinista revolution."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,19 April 2019,A meeting of the delegations of Abkhazia and Syria held at the international economic forum,The work of the V-th Yalta International Economic Forum continues.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,19 April 2019,"Daur Kove, the Minister of Foreign Affairs of Abkhazia participates in the V-th anniversary international economic forum","The V-th anniversary Yalta International Economic Forum «WORLD. RUSSIA. CRIMEA. NEW WORLD REALITY» takes place in Crimea from April 18 to April 20,2019. The delegation of the Republic of Abkhazia is represented by Daur Kove, the Minister of Foreign Affairs, Adgur Ardzinba, the Minister of Economy and the deputies of the Parliament-National Assembly."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=1,Information about Visits and Trips,21 April 2018,"Daur Kove, the Foreign Minister spoke at the IV-th Yalta International Economic Forum","Daur Kove, the Foreign Minister spoke at the IV-th Yalta International Economic Forum (YIEF). "
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=2,Information about Visits and Trips,21 April 2018,"Daur Kove, the Foreign Minister of Abkhazia met with the delegation from Syria on the margins of the YIEF 2018","Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia and Adgur Ardzinba, the Minister of Economy of the Republic of Abkhazia met with the delegation from Syria on the margins of the 4-th Yalta International Economic Forum (YIEF) on April 20."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/visits_info/?PAGEN_1=2,Information about Visits and Trips,26 January 2018,"On the meeting of Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia with the President of the Republic of Nauru","Daur Kove, the Minister of Foreign Affairs met with Baron Divavesi Waqa, the President of the Republic of Nauru on January 26. The meeting was attended by Said Kharazia, the Deputy Speaker of the Parliament of the Republic of Abkhazia and Artur Gaguliya, the Head of the Department for Interaction with International Organizations"
