State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,8 April 2021,Comments of  the Foreign Ministry of Abkhazia,"Attention was drawn to the reaction in Tbilisi to the incident that took place on April 7 this year on the Inguri River, because of which four residents of the Gali and Tkuarchali districts of the Republic of Abkhazia were died."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,10 March 2021,Commentary of the Ministry of Foreign Affairs of Abkhazia,"We have paid attention to the comments and estimations, which appeared in various Russian mass media concerning detention of the citizen A.R. Avidzba by law enforcement bodies of the Republic of Abkhazia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,26 January 2021,Commentary of the Abkhazian Foreign Ministry,"
	M. Kalyurand, head of the European Parliament delegation for relations with the South Caucasus, issued a statement calling on the Russian Federation to ""fulfill its international obligations and withdraw its recognition of Abkhazia's independence. 
	 MEP's statement was made in connection with and in support of the recent decision of the European Court of Human Rights on the so called ""Georgia vs. Russia"" case related to the armed conflict in South Ossetia in August 2008.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,18 January 2021,Commentary of the Abkhazian Foreign Ministry,"Jens Stoltenberg, NATO Secretary General, speaking at the Paris School of Foreign Affairs conference, said that for him to question the right of a sovereign state to decide its own future is ""almost a provocation."""
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,25 December 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"As it became known from the speech of Georgian Defense Minister I. Garibashvili at the parliamentary hearings, in 2021 the Georgian military department plans to purchase a batch of reconnaissance and combat unmanned aerial vehicles. He added that Georgia has recently signed an agreement with Israel to upgrade and completely modernize Georgia's air defense system."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,23 December 2020,Commentary of the Abkhazian Foreign Ministry on the statement of the Georgian Minister for Reconciliation and Civil Equality,"Thea Akhvlediani, the Georgian Minister for Reconciliation and Civic Equality suggested ""expanding the platform of informal dialogue and cooperation with the Abkhaz and Ossetian communities, which would be based on common interests."" According to her, Georgia has not stopped this dialogue in order to improve the legal and humanitarian situation of the population, including in the conditions of the coronavirus pandemic. Such a process, she believes, will be continued and become even more intense."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,12 December 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia in connection with the speech of S. Zurabishvili in the Parliament of Georgia,"S. Zurabishvili, the Georgian President during her speech in the Parliament of Georgia on December 11, 2020 called on to search new approaches for rapprochement ""with our Abkhaz and Ossetian population living in the occupied regions."" In her view, Georgia should ""seek ways to bridging with the peoples of the occupied regions - Abkhazia and South Ossetia."""
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,11 December 2020,"The commentary of the Ministry of Foreign Affairs of Abkhazia in connection with the Appeal of the RPO ""Aruaa""","We have considered the Appeal of the RPO ""Aruaa"" concerning the Concept of Foreign Policy of the Republic of Abkhazia, approved by Aslan Bzhania, the President on the 4-th of December this year. A number of claims are being made by Aruaa concerning the procedure of adoption of the Concept and its content, inter alia, regarding clause 2.3."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,16 November 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia in connection with the last meeting of the OSCE Permanent Council,"The last meeting of the OSCE Permanent Council in Vienna became one of the most politicized events of this authoritative international organization. Some OSCE representatives continued to hang labels on the Republic of Abkhazia and create a false image of the work of the Geneva International Discussions and the positions of their participants considering the ""situation in Georgia"" and the ""occupied regions"". The representative of Great Britain also ""distinguished himself"", who repeated the traditional accusations against Abkhazia and extremely distortedly presented the problems of the Geneva discussions during the meeting."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=1,Statements and Speeches,13 November 2020,"Commentary of the Foreign Ministry of Abkhazia in connection with the speech of J. Gilmore, the US Ambassador to the OSCE ","Some aspects of the work of the Geneva International Discussions on Security and Stability in Transcaucasia were touched upon during the speech of James Gilmore, the US Ambassador to the OSCE at the meeting of the OSCE Permanent Council in Vienna on November 12 this year. "
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,13 November 2020,Commentary of the Abkhazian Foreign Ministry ,"We drew attention to the information that appeared in the media on the meeting of F. Guliyev, the Ambassador of Azerbaijan to Georgia with R. Abashidze, the “head of the government of the Autonomous Republic of Abkhazia”.

"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,27 October 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"
	S. Zurabishvili, the Georgian President again acted as the defender of the Abkhaz language, which is “under the threat of extinction”. Mrs. Zurabishvili is trying to assure the public that this problem is the most difficult and responsible for her. “I am responsible for protecting of the Abkhaz language as the president of Georgia and the guarantor of its constitution. Especially at a time when the Abkhaz language is included in the list of endangered languages by UNESCO,” Zurabishvili said.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,6 October 2020,The grand opening of the Embassy of the Republic of Abkhazia in the Syrian Arab Republic took place in Damascus,"
	 On October 6, Damascus hosted the grand opening of the Embassy of the Republic of Abkhazia in the Syrian Arab Republic. The event was attended by Deputy Chairman of the Council of Ministers, Minister of Foreign Affairs and Expatriates of the Syrian Arab Republic Walid al Muallem, Deputy Minister of Foreign Affairs and Expatriates of the Syrian Arab Republic Ayman Susan, Ambassadors of the Russian Federation, Venezuela accredited to the Syrian Arab Republic and Cuba.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,29 September 2020, Commentary of the Ministry of Foreign Affairs of Abkhazia in connection with J. Stoltenberg's appeal to accelerate preparations for Georgia's admission to NATO,"On September 29 in Brussels, NATO Secretary General J. Stoltenberg, during a press conference with Georgian Prime Minister G. Gakharia, made a number of statements, in which, in particular, he called for accelerating preparations for Georgia's admission to NATO. Stoltenberg did not forget to mention the continued support of the North Atlantic Alliance for the sovereignty and territorial integrity of Georgia, and also called on Russia to withdraw recognition of the independence of Abkhazia and South Ossetia.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,11 September 2020,Commentary of the Ministry of Foreign Affairs of the Republic of Abkhazia,"We noticed the appeals that appeared in the context of the events in Belarus by a number of well-known political and public figures of Russia for unification with the Russian Federation of Belarus, Abkhazia, South Ossetia, Pridnestrovie, as well as the DPR and LPR.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,7 September 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"
	The Ministry of Foreign Affairs of the Republic of Abkhazia expresses serious concern about the holding of another large-scale military exercise of the NATO countries ""Noble Partner 2020"" in Georgia. The military exercise in the Georgia-NATO format will involve several thousand military personnel using heavy military equipment, aircraft and ships of the US Navy.








	  
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,7 August 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"The European Union Delegation to Georgia issued a joint statement ""on the 12-th anniversary of the conflict between Russia and Georgia"", which expresses the EU's commitment to the peaceful resolution of conflicts and strong support for Georgia's sovereignty and territorial integrity."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,3 August 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"
	We drew attention to the material of I. Tekushev published on the website of «Radio Svoboda» which touches upon the interests of the Abkhaz-Russian relations.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,21 July 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia in connection with the military exercises of NATO countries in the Black Sea,"NATO countries' «Sea Breeze 2020» military exercises started in the Black Sea on July 20,2020 in which the Georgian military personnel are also taking part. In total, 27 warships, 19 aircraft and 2,000 military personnel from Ukraine, Georgia and seven NATO member countries: the United States, Bulgaria, Turkey, Romania, France, Spain and Norway are participating in naval maneuvers."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=2,Statements and Speeches,26 June 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"Georgy Gaharia, the Prime Minister of Georgia called the “Russian occupation” the main challenge for Georgia and its national security speaking in the parliament with an annual report. In his opinion, this is precisely the obstacle to the development of the country. In addition, G. Gaharia laid all responsibility for the situation in the ""occupied territories"" on Russia, which according to the Prime Minister of Georgia exercises ""on-site control"" there."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=3,Statements and Speeches,26 June 2020,Daur Kove congratulated Yevgeny Primakov on his appointment as the Head of Rossotrudnichestvo,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia congratulated Yevgeny Primakov on the appointment as the Head of the Federal Agency for the Commonwealth of the Independent States compatriots living abroad and international humanitarian cooperation (Rossotrudnichestvo)."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=3,Statements and Speeches,23 June 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"The resolution “Cooperation with Georgia” was adopted at the request of the Georgian side within the framework of the 43-rd session of the UN Human Rights Council in Geneva, which almost completely repeats the content of the previous HRC resolutions on Georgia which have been adopted by the Council since 2017. We recall, that such documents of a purely recommendatory nature declare support for the territorial integrity of Georgia, express ""serious concern"" with the human rights situation in Abkhazia and South Ossetia, note the ""facts"" of discrimination against residents of border regions, condemn the so-called “Borderization process along the line of occupation”, etc."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=3,Statements and Speeches,11 June 2020,Commentary of the Embassy of Russia in Abkhazia,The Russian Embassy in Abkhazia fully shares the views of the Ministry of Foreign Affairs of Abkhazia 
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=3,Statements and Speeches,10 June 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"The Ministry of Foreign Affairs of the Republic of Abkhazia got acquainted with an interview of James Gilmore, the US Ambassador to the OSCE in which he allowed himself a number of unacceptable statements to the Republic of Abkhazia accompanying them with the peculiar historical excursions."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/statements_speeches/?PAGEN_1=3,Statements and Speeches,2 June 2020,Commentary of the Ministry of Foreign Affairs of Abkhazia,"
	The Ministry of Foreign Affairs of the Republic of Abkhazia drew attention to a provocative post of T. Beruchashvili, the Georgian Ambassador to the United Kingdom on the Twitter social network.
"
