State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,20 May 2021,The Ministry of Foreign Affairs of Abkhazia sent condolences to the Ministry of Foreign Affairs of South Ossetia on the occasion of the 29-th anniversary of the Zar tragedy,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a note of condolences to the Ministry of Foreign Affairs of the Republic of South Ossetia on the occasion of the 29-th anniversary of the Zar tragedy.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,17 April 2021,The Abkhaz Foreign Ministry sends a congratulatory note to the Syrian Foreign Ministry,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs and Compatriots Abroad of the Syrian Arab Republic on the 75-th anniversary of Independence Day.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,8 April 2021,Daur Kove congratulates Dmitri Medoev on Constitution Day of the Republic of South Ossetia,"Daur Kove, Minister of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to Dmitri Medoev, the Minister of Foreign Affairs of the Republic of South Ossetia on the 20-th anniversary of the adoption of the Constitution of the Republic of South Ossetia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,21 March 2021,Daur Kove congratulated Sergey Lavrov on the occasion of his birthday,"
	The head of the Ministry of Foreign Affairs of Abkhazia congratulated Sergey Lavrov, the Minister of Foreign Affairs of the Russian Federation on the occasion of his birthday.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,17 March 2021,Daur Kove congratulated Dmitry Medoev on the occasion of his reappointment to the post of the Minister of Foreign Affairs of the Republic of South Ossetia,"
	Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia sent the congratulatory note to Dmitry Medoev, the Minister of Foreign Affairs of the Republic of South Ossetia in connection with the reappointment to the post of the Head of the Ministry of Foreign Affairs of the Republic of South Ossetia.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,15 March 2021,"Greetings to Daur Kove, the Minister of Foreign Affairs on the occasion of the birthday ",Congratulations continue to come to the address of the Foreign Minister of Abkhazia on the occasion of his birthday.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,15 March 2021,Sergey Lavrov congratulated Daur Kove on the occasion of his birthday,"Sergey Lavrov, the Minister of Foreign Affairs of the Russian Federation congratulated Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia on the occasion of his birthday."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,7 March 2021,Daur Kove sent a congratulatory note to Alexander Vataman,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to Alexander Vataman, Plenipotentiary Representative of the Republic of Abkhazia in the PMR on the occasion of  the 13-th anniversary of signing of the Decree about establishment of the Official Representative of the Republic of Abkhazia in the Transnistrian Moldavian Republic."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,5 March 2021,Daur Kove congratulated Alexei Dvinyanin on his birthday,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia congratulated Alexei Dvinyanin, Ambassador Extraordinary and Plenipotentiary of the Russian Federation to the Republic of Abkhazia on his birthday."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=1,Notes,23 February 2021,Foreign Ministry of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of TMR,Ministry of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of the Transnistrian Moldavian Republic on Defender of the Fatherland Day.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/notes/?PAGEN_1=2,Notes,23 February 2021,Foreign Ministry of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of South Ossetia on Defender of the Fatherland Day,The Ministry of Foreign Affairs of the Republic of Abkhazia sent a congratulatory note to the Ministry of Foreign Affairs of the Republic of South Ossetia on Defender of the Fatherland Day.
