State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,25 April 2021,Bagrat Khutaba met with the Ambassador of the Sultanate of Oman to Syria,"Bagrat Khutaba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to Syria met with Turki Ben Mahmoud al-Busaidi, the Ambassador Extraordinary and Plenipotentiary of the Sultanate of Oman to Syria at the Embassy of the Republic of Abkhazia in the Syrian Arab Republic on April 25, 2021."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,15 March 2021,Bagrat Khutaba met with the Ambassador of Yemen to Syria,"The official meeting of Bagrat Khutaba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Syrian Arab Republic with Abdullah Ali Sabri, the Ambassador Extraordinary and Plenipotentiary of the Islamic Republic of Yemen took place in the city of Damascus at the Embassy of the Islamic Republic of Yemen in the Syrian Arab Republic on March 15, 2021."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,9 February 2021,Zaur Gvadjava participated in a video conference of heads of diplomatic missions accredited in Venezuela,"On February 9, 2021, Zaur Gvadjava, Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela, at the invitation of the Nuncio of the Pope, Dean of the Diplomatic Corps, His Holiness Aldo Giordano, participated in a video conference of heads of diplomatic missions accredited in the Bolivarian Republic of Venezuela."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,22 January 2021,Press release on the 28th anniversary of the signing of the Treaty of Friendship and Cooperation between the Republic of Abkhazia and the Transnistrian Moldovan Republic ,"On January 22, 1993 the Treaty of Friendship and Cooperation between the Republic of Abkhazia and the Transnistrian Moldovan Republic was signed. This document laid the foundation for the establishment of interstate cooperation, laying the necessary foundation for the development and strengthening of bilateral cooperation between our countries. "
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,7 December 2020,Elections to the National Assembly were held in Venezuela,"
	On December 6, elections to the National Assembly were held in Venezuela. According to preliminary data from the National Electoral Council of the Bolivarian Republic of Venezuela, the ""Great Patriotic Pole"", led by the United Socialist Party of Venezuela (PSPV), won, gaining a majority of seats in parliament. The results of the vote, which took place in accordance with the national legislation of Venezuela, were recognized by the head of state, Nicolas Maduro.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,3 December 2020,"Zaur Gwajava took part in a meeting with Indira Alfonso, the Chairperson of the National Electoral Council and Jorge Arreas, the Minister of Foreign Affairs of Venezuela.","
	On December 1, at the Center for Strategic Operations of the National Electoral Council in the city of Caracas, Z.K. Gwajava, Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela took part in a meeting with Indira Alfonso, the President of the National Electoral Council and Jorge Arreas, the Minister of Foreign Affairs of Venezuela.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,23 November 2020,"On the meeting with Hussein Arnous, the Chairman of the Council of Ministers","The meeting of Bagrat Khutaba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Syrian Arab Republic with Hussein Arnous, the Chairman of the Council of Ministers of Syria took place in the building of the Syrian Council of Ministers on November 23, 2020 in Damascus. "
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,10 November 2020,Daur Kove will take part in an international conference in Syria                           ,"Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia will take part in an international conference dedicated to the process of the return of the Syrian refugees at the invitation of the Ministry of Foreign Affairs and Expatriates of the Syrian Arab Republic. The conference will take place from 11 to 12 November 2020 in Damascus."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,4 October 2020,Delegation of the Republic of Abkhazia arrived in Damascus,"The delegation of the Republic of Abkhazia, headed by the Head of the Presidential Administration of the Republic of Abkhazia Alkhas Kvitsinia, arrived in Damascus on the evening of October 4."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=1,Embassy News,7 May 2020,"Zaur Gvadzhava attended an international video press conference with Nicolas Maduro Moros, the President of Venezuela","Z.K. Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela took part in an international video press conference with the Nicolas Maduro Moros, the President of the Bolivarian Republic of Venezuela on May 6, 2020 at the invitation of the Foreign Ministry of Venezuela.

"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,5 March 2020,On the commemorative event dedicated to V.G. Ardzinba in the Representative Office of Abkhazia in the PMR,"
	The commemorative event dedicated to Vladislav Grigoryevich Ardzinba, the First President of the Republic of Abkhazia as well as the opening of the photo exhibition “75 Moments from the Life of the Great Son of Abkhazia” was held in the Official Representation of the Republic of Abkhazia in the PMR, today, on March 4, 2020.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,27 February 2020,On the meeting at the office of the «Vatan» party in Turkey,"
	The meeting was held between the representatives of the Plenipotentiary Representation of the Republic of Abkhazia in the Republic of Turkey and A. Logua, N. Smyr, V. Bebia, the Deputies of the People's Assembly-Parliament of the Republic of Abkhazia with Dogu Perenchek, the Chairman of the «Vatan» party in the office of the «Vatan» party, in the city of Istanbul, on February 26,2020.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,26 February 2020,MFA of Abkhazia repotrs,"In connection with the increase of the number of patients with coronavirus infection (COVID-19) in a number of countries, the Ministry of Foreign Affairs of Abkhazia urges citizens of the Republic to refrain from visiting countries in which cases of infection have been recorded."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,4 February 2020,On the meeting with the Chairman of the Supreme Council of the PMR,"The working meeting between Alexander Korshunov, the Chairman of the Supreme Council of the PMR with Alexander Vataman, the Plenipotentiary Representative of the Republic of Abkhazia in the PMR and Vitaly Yankovsky, the Head of the Official Representation of the Republic of South Ossetia in the PMR was held today."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,19 November 2019,"Khibla Amichba took part in the conference ""International Urban Mobility Dialogue""","
	The international conference ""International Urban Mobility Dialogue"" ended last week in Berlin. It was organized by Academus Berlin GmbH and brought together the representatives of administrations of different cities of the world as well as business, scientific communities and civic associations.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,15 November 2019,On the meeting at the Ministry of Foreign Affairs of the PMR,"
	The meeting between Vitaliy Ignatiev, the Minister of Foreign Affairs of the Pridnestrovian Moldavian Republic and Alexander Vataman, the Plenipotentiary Representative of the Republic of Abkhazia in the PMR was held at the Ministry of Foreign Affairs of the PMR on November 14, 2019. The meeting was attended by Alexander Stetsyuk, the Deputy Minister.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,1 November 2019,Meeting at the Ministry of Foreign Affairs of Russia,"Andrey Rudenko, the Deputy Minister of Foreign Affairs of the Russian Federation held a meeting with Igor Akhba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Russian Federation."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,3 September 2019,Alexander Vataman took part in official events on the occasion of the 29-th anniversary of the establishment of the Pridnestrovian Moldavian Republic,"The ceremonial events were held in the Pridnestrovian Moldavian Republic on September 2, 2019 on the occasion of the 29-th anniversary of the establishment of the PMR.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,8 April 2019,Zaur Gvadzhava arrived in the Republic of Nicaragua with a working visit,"Zaur Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela arrived in the Republic of Nicaragua with a working visit on March 31,2019."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=2,Embassy News,29 March 2019,"Vito Grittani had the meeting with Juan Rodriguez Díaz, the Venezuelan Ambassador to Italy","Vito Grittani, the Ambassador-at-large of the Ministry of Foreign Affairs of Abkhazia had the meeting with Juan Rodriguez Díaz, the Ambassador of Venezuela to Italy at the Embassy of Venezuela in Italy on March 8,2019.

"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,13 March 2019,"The tourist exhibition ""Mitt"" was opened in Moscow","Igor Akhba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Russian Federation and Avtandil Gartskiya, the Minister of Tourism visited the pavilion ""Abkhazia"" of the international tourist exhibition Mitt opened at the Expo Center at Krasnopresnenskaya Embankment.
Igor Akhba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Russian Federation and Avtandil Gartskiya, the Minister of Tourism visited the pavilion ""Abkhazia"" of the international tourist exhibition Mitt opened at the Expo Center at Krasnopresnenskaya Embankment.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,7 March 2019,Igor Akhba awarded the Order of Friendship of the Republic of South Ossetia,"Igor Akhba, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia in the Russian Federation was awarded a high state award - the Order of Friendship by the Decree of Anatoly Bibilov, the President of the Republic of South Ossetia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,1 March 2019,"Pridnestrovie was visited by Vito Grittani, the Ambassador at large of the Ministry of Foreign Affairs of the Republic of Abkhazia ","Vito Grittani comes from Italy from the city of Bari. For a long time, he lived in Germany, and now he is a citizen of Abkhazia. Since his appointment in August 2016 as ambassador-at-large of the Ministry of Foreign Affairs of the Republic of Abkhazia in Italy he has been conducting competent and painstaking diplomatic work, providing all possible humanitarian assistance."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,1 March 2019,"Zaur Gvadzhava held a meeting with Jaoska Calderon, the Ambassador of the Republic of Nicaragua in Venezuela ","Zaur Guadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela met with Jaoska Calderon, the Ambassador of the Republic of Nicaragua to the Bolivarian Republic of Venezuela on February 27, 2019."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,15 February 2019,"Vito Grittani met with Husam Yeddin Ala, the Permanent Representative of Syria to the UN in Geneva ","Vito Grittani, the ambassador-at-large of the Foreign Ministry of Abkhazia met with Hussam Yeddin Ala,the Permanent Representative of Syria to the United Nations in Geneva on February 13,2019."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,22 January 2019,Alexander Vataman spoke on the cooperation of Abkhazia and Transdniestria in 2018,
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,27 December 2018,"The finalists of the children's drawing contest “Abkhazia, South Ossetia and Transdniestria: friendship, sealed by time” were awarded in Tiraspol","Today, in the State Administration of the city of Tiraspol, young Tiraspol citizens were honored - the finalists of the children's international drawing contest “Abkhazia, South Ossetia and Transdniestria: friendship, sealed by time”."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,17 December 2018,Children's New Year's holiday was held at the Embassy of Abkhazia in Moscow,"In Moscow, the New Year carnival for children was organized by the Embassy of the Republic of Abkhazia in the Russian Federation and the Moscow Abkhaz diaspora."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,13 December 2018,Igor Akhba took part in an international conference in Moscow,"Igor Akhb, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Russian Federation, Ilya Guniya, Raul Lolua and Valery Agrba the deputies of the National Assembly as part of the Abkhaz delegation participated in the international conference “The Role of Parliaments in the Modern World”. The conference was dedicated to the 25-th anniversary of the Council of Federation of the Federal Assembly of the Russian Federation.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=3,Embassy News,13 December 2018,Igor Akhba took part in the meeting at «Skolkovo»,An introductory meeting of the heads of the diplomatic corps accredited in Russia with the leadership of the Skolkovo Foundation was held in the Technopark of the Skolkovo Innovation Center.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,13 November 2018,Tenth anniversary of the establishment of the first Embassy of the Republic of Abkhazia,"The first Embassy of the Republic of Abkhazia was created ten years ago. The Embassy of the Republic of Abkhazia in the Russian Federation was established by the Decree of Sergey Bagapsh the President of the country on November 13, 2008."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,13 November 2018,An article «Abkhazia is a country of sports” was published in the state sports newspaper of Venezuela EL LIDER,"The article “Abkhazia is a country of sports” was published in the state sports newspaper of the Bolivarian Republic of Venezuela EL LIDER (El Leader) on November 12, 2018."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,11 November 2018,The Humanitarian action supported by the German diaspora,The action of humanitarian aid to Abkhazia was launched among the Turkish Abkhaz diaspora. The diaspora living in different cities of Germany joined it.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,29 October 2018,An article on the 25-th anniversary of the Victory and Independence Day of the Republic of Abkhazia has been published in the Venezuelan state newspaper Ultimas Noticias,"It is said:
25 years from the Victory Day in the Patriotic War of the People of Abkhazia.
This year, one of the most important holidays in the history of the Abkhaz state took place on September 30, the people of Abkhazia celebrated the 25-th anniversary of Victory Day in the Patriotic War of the People of Abkhazia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,25 October 2018,Abkhaz-Russian consultations were held at the Russian Foreign Ministry,"The regular consultations took place in Moscow within the framework of the foreign policy coordination mechanism established by the Memorandum between the Foreign Ministry of Abkhazia and the Russian Foreign Ministry of March 11, 2015."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,24 October 2018,The attempts of the Republic of Moldova to limit the diverse of international contacts of Transdniestria indicate the preservation of the destructive approaches of the Moldovan side,"Border Police denied entry into the territory of the Republic of Moldova for Ruslan Ladaria, the head of the Administration of the Gudauta region of the Republic of Abkhazia who was to Transdniestria by transit way for celebrating the Day of the city of Dubossary on October 23, 2018. The entry was also denied for Garry Kupalba, the Head of the Official Representation of the PMR in the Republic of Abkhazia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,22 October 2018,Zaur Gvadzhava made a reception on the occasion of the 25-th anniversary of Victory Day and the 10-th anniversary of the recognition of Abkhazia by the Russian Federation,"Zaur Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia made a reception on the occasion of the 25-th anniversary of Victory Day, the 10-th anniversary of the recognition of Abkhazia by the Russian Federation and the day of the armed forces of the Republic of Abkhazia on October 18, 2018.
Reception was held at the hotel Gran Melia Caracas."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,18 October 2018,"Khibla Amichba took part in the conference ""The severity of history - regional conflicts and the Legality in Eastern Europe""","The conference entitled “The Severity of History — Regional Conflicts and Legality in Eastern Europe” was held in Berlin, organized by the Center for Eastern European and International Studies, Herder Institute and Leibniz Institute on October 17,2018."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,29 September 2018,Events dedicated to the Day of Victory and Independence of the Republic of Abkhazia will be held in Tiraspol,"On the eve of the holiday, on a big screen in the center of Tiraspol, a video in connection with the events in Abkhazia 25 years ago and Victory Day of the People of Abkhazia in the Patriotic War in 1992-1993 is broadcast in a repeating mode."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=4,Embassy News,12 September 2018,"The Embassy of the Republic of Abkhazia in Venezuela continues to receive condolences on the occasion of the tragic death of Gennady Gagulia, the Prime Minister of Abkhazia","Yaoska Calderón, the Ambassador of the Republic of Nicaragua to the Bolivarian Republic of
Venezuela visited the Embassy of the Republic of Abkhazia in the Bolivarian Republic of
Venezuela on September 10, 2018 to express her condolences to Zaur Gvadzhava, the
Ambassador of the Republic of Abkhazia on the occasion of the tragic death of Gennady
Gagulia, the Prime Minister of Abkhazia."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,3 September 2018,Daur Kove sent a congratulatory note to Masis Mailyan on the occasion of the Independence Day of the Republic of Artsakh,"The Minister of Foreign Affairs of the Republic of Abkhazia, Daur Kove sent a congratulatory note to Masis Mailyan, the Minister of Foreign Affairs of the Republic of Artsakh on the occasion of the Independence Day of the Republic of Artsakh."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,2 September 2018,Daur Cove congratulated Vitaly Ignatiev on the 28th anniversary of the Day of Formation of the Tansdniesrian Moldavian Republic,"In the congratulation, in particular, it is noted:"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,1 September 2018,Alexander Vataman took part in a solemn meeting in honor of the 28th anniversary of the foundation of Transdniestria,"Traditionally, on the eve of the PMR Foundation Day, the Palace of the Republic accepts the top officials of the state, heads of ministries and departments, public figures, clergy, those who stood at its sources, and then defended its independence. Among the participants of the solemn meeting there were guests from Russia, heads of official representations of Abkhazia and South Ossetia in Transdniestria.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,3 August 2018,"The International award ""FELICORPSDIPLOMATIC"" was presented to Zaur Gvadzhava","The solemn ceremony of awarding the International award ""FELICORPSDIPLOMATIC"" to Zaur Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela was held in the Embassy of the Republic of Abkhazia in the Bolivarian Republic of Venezuela on August 2, 2018."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,25 July 2018,The Day of the Abkhaz flag was celebrated in Moscow,The Embassy of the Republic of Abkhazia in the Russian Federation celebrated the Day of the National Flag.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,13 July 2018,"The Reconstruction of ""Abkhazia"" pavilion at the Exhibition of the Economic Achievements",The works on restoring of the historical appearance of the exhibition center are under way - the famous fountains and pavilions are being restored on the territory of the Exhibition of Economic Achievements.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,28 June 2018,"Zaur Gvadzhava held a meeting with Salvador Victor Chirinos, the representative of the Che Guevara Foundation and the Commission for Solidarity with the People","The meeting of Zaur Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela with Salvador Victor Chirinos, the representative of the Che Guevara Foundation and the Commission for Solidarity with the People was held in the Embassy of the Republic of Abkhazia in Venezuela on June 27, 2018."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,21 May 2018," Alan Elbakiev took part in the farewell ceremony with Oleg Mamiev, the battalion commander of ""Pyatnashki"" which was held in Vladikavkaz","Alan Elbakiev, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Republic of South Ossetia took part in the farewell ceremony with Oleg Mamiev, the battalion commander Pyatnashki which was held in Vladikavkaz."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,21 May 2018,"Zaur Gvajawa held a meeting with Joseph Noxie, the Ambassador of South Africa in Venezuela ","On May 15, Zaur Gvajava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia to the Bolivarian Republic of Venezuela met with Joseph Knoxie, the Ambassador Extraordinary and Plenipotentiary of the Republic of South Africa to the Bolivarian Republic of Venezuela at the Embassy of Abkhazia in Venezuela."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=5,Embassy News,7 May 2018,Igor Akhba attended the inauguration ceremony of the Russian President in Kremlin.,"The inauguration ceremony of Vladimir Putin, the Russian President was at the Andreevsky Hall of the Grand Kremlin Palace in Moscow."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,4 May 2018,Igor Akhba met with the new Russian Ambassador to Abkhazia,"Alexei Dvinyanin, the new Ambassador Extraordinary and Plenipotentiary of the Russian Federation to the Republic of Abkhazia visited the Embassy of the Republic of Abkhazia in Moscow. "
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,6 April 2018,"Zaur Gvadzhava held a meeting with Macario Sandoval, the Deputy of the National Constituent Assembly of Venezuela","The meeting of Zaur Gvadzhava, the Ambassador Extraordinary and Plenipotentiary of Abkhazia to Venezuela with Macario Sandoval, the Deputy of the National Constituent Assembly of Venezuela was in the Embassy of the Republic of Abkhazia in the Bolivarian Republic of Venezuela on April 5."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,5 April 2018,"Zaur Gwadzhava held a meeting with Vladimir Zaemsky, the Ambassador of Russia in Venezuela ","The meeting of Zaur Gvadzhava, the Extraordinary and Plenipotentiary Ambassador of Abkhazia in Venezuela with Vladimir Zayemsky, the Extraordinary and Plenipotentiary Ambassador of Russia in Venezuela was on April 4 in the Embassy of the Russian Federation in the Bolivarian Republic of Venezuela."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,24 February 2018,Hibla Amichba took part in the events dedicated to the 100-th anniversary of the formation of the Soviet Army,The ceremony of laying flowers were held at the Monumental Complex to the Soviet soldiers at the Reichstag on the occasion of the 100-th anniversary of the formation of the Soviet Army on February 23 in Berlin.
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,15 February 2018,Adik Arshba took part in the meeting with the representatives of the authorities of the Rostov region.,"The meeting of the representatives of the authorities of the Rostov region with the heads of the diplomatic missions accredited in the Rostov region was held in Rostov-on-Don. Adik Arshba, the Honorary Consul of the Republic of Abkhazia in Rostov-on-Don took part in the meeting at the invitation of the authorities of the region."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,29 January 2018,The meeting of the Minister of Foreign Affairs of the PMR and the Plenipotentiary Representative of the Republic of Abkhazia in PMR was held at the Ministry of Foreign Affairs of the PMR.,"At the beginning of the meeting, Vitaly Ignatiev, the PMR Foreign Minister and Alexander Vataman, the Plenipotentiary Representative of the Republic of Abkhazia in PMR exchanged congratulations on the occasion of the 25-th anniversary of the signing of the Treaty on Friendship and Cooperation between the Republic of Abkhazia and the Pridnestrovian Moldavian Republic of 1993, which served as the basis for the formation of the present relations between Abkhazia and Pridnestrovie."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,24 October 2017,Zaur Gwadzhava participated in the plenary meeting of the heads of the diplomatic missions.,"Zaur Gwadzhava, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia at the invitation of the Papal Nuncio Aldo Giordano (Aldo Giordano) took part in a plenary meeting of the heads of diplomatic missions accredited in the Bolivarian Republic of Venezuela, which was held at the Vatican Embassy on October 23, 2017."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,4 October 2017,On the meeting of the Plenipotentiary Representative of the Republic of Abkhazia in Pridnestrovie with the Minister of Foreign Affairs of the PMR,"The working meeting between Vitaly Ignatiev, the Minister for Foreign Affairs of the Pridnestrovian Moldavian Republic and Alexander Vataman, the Plenipotentiary of the Republic of Abkhazia in Pridnestrovie was held at the Ministry for Foreign Affairs of the PMR on October 4."
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,1 August 2017,The Plenipotentiary Representative of the Republic of Abkhazia in PMR spoke at the International Scientific and Expert Round Table.,"The Institute for Socio-Political Research and Regional Development (Tiraspol) conducted the International Scientific and Expert Round Table ""The Phenomenon of Russian Peacekeeping on the Dniester: 25 Years of Peace and Stability in the Epicenter of Geopolitical Transformations"".
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=6,Embassy News,1 August 2017,"The Plenipotentiary Representative of Abkhazia in Pridnestrovie took part in the meeting ""Memory of the Heart"" at the memorial of the Military Glory in Tiraspol","The decision of the Pridnestrovian leadership to declare the 1st of August as the Day of Remembrance and Grief for the gone defenders of the PMR is dated 1994. Since then, annually on this day in the Republic events are held reminding of the cessation of bloodshed on the Pridnestrovian land.
"
Abkhazia,2021-05-26,http://mfaapsny.org/en/allnews/news/embassies/?PAGEN_1=7,Embassy News,29 July 2017,"Alexander Vataman, the Plenipotentiary Representative of the Republic of Abkhazia in PMR took part in the ceremonial events in Bender dedicated to the 25th anniversary of the introduction of the Joint Peacekeeping Forces into the Security Zone of the Mold","Alexander Vataman laid flowers to the memorial sign ""Blessed are the peacemakers"" to the slabs of the Memorial of Memory and Sorrow and to the monument to Lieutenant-General Lebed."
