State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=44,Old Homepage,16.04.2012,"On April 16-18, the Minister of Foreign Affairs of the Republic of Abkhazia Viacheslav Chirikba will arrive in Moscow on an official visit",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=47,Old Homepage,17.04.2012,"The Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba met with the Foreign Minister of the Russian Federation Sergey Lavrov.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=53,Old Homepage,18.04.2012,"On April 18, 2012 a press conference of the Minister of Foreign Affairs of Abkhazia, Viacheslav Chirikba on the results of visit to Russia was held in the ""Interfax""",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=62,Old Homepage,23.04.2012,"The meeting of the Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba with the delegation of the European Union",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=66,Old Homepage,24.04.2012,"On April 24, the Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba received the Ambassador of the German Federal Republic Ortvin Hoenig",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=77,Old Homepage,25.04.2012,The meeting of the Minister of Foreign Affairs Viacheslav Chirikba with the Ambassador Extraordinary and Plenipotentiary of Abkhazia Zaur Gvadzhava,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=78,Old Homepage,25.04.2012,Statement of the MFA of Abkhazia ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=79,Old Homepage,25.04.2012,Statement of the MFA of the Republic of Abkhazia in relation to the Torture of the Abkhaz Resident Merab Kolbaya,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=83,Old Homepage,26.04.2012,President of the Republic of Abkhazia Alexander Ankvab presented credentials to the  Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia in Venezuela and Nicaragua Zaur Gvadzhava,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=92,Old Homepage,03.05.2012,Irakli Khintba: ‘No country can tolerate being treated disparagingly and even at times offensively. We demand respect for Abkhazia.’,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=96,Old Homepage,04.05.2012,Meetingof V. Chirikba with EU Special Representative for the South Caucasus Philippe Lefort,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=120,Old Homepage,10.05.2012,Co-Chairs of the Geneva Discussions Deliberate the Agenda of the Forthcoming Round ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=121,Old Homepage,07.05.2012,"The Minister of Foreign Affairs, Viacheslav Chirikba, addressed a congratulatory note to the Minister of Foreign Affairs of the Transdniestrian Moldavian Republic, Nina Shtansky,   on the occasion of the Day of diplomatic service of the TMR.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=122,Old Homepage,09.05.2012,The Minister of Foreign Affairs Viacheslav Chirikba congratulated the Ambassador Extraordinary and Plenipotentiary of the Russian Federation S. Grigoriev with the Victory Day of the GPW.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=123,Old Homepage,09.05.2012,"The Head of Foreign Affairs, Viacheslav Chirikba, congratulated the Minister of Foreign Affairs of the RF S. Lavrov with the Victory Day of  the GPW",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=124,Old Homepage,08.05.2012,27 persons from Syria have returned to Abkhazia for permanent residence,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=132,Old Homepage,17.05.2012,May 17 is the birthday of the MFA of Abkhazia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=143,Old Homepage,21.05.2012,The Remembrance Day of Victims of the Caucasian War is marked in Abkhazia. ,NA
