State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Thu, 06/12/2018 - 17:25",Statement of the Ministry of Foreign Affairs of the Republic of South Ossetia,"
December 4 saw another statement by NATO Secretary General Jens Stoltenberg made in Brussels that Russia should end its recognition of the independence of the Republic of South Ossetia and the Republic of Abkhazia and withdraw its forces “from these regions of Georgia”.
The consolidated position of NATO members regarding South Ossetia and Abkhazia is well known, and similar calls, accompanying traditional statements on support for Georgia in its aspiration to join NATO, have long ago turned into a necessary ritual.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Wed, 05/12/2018 - 15:23",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

Dmitriy Medoev, the Minister of Foreign Affairs of the Republic of South Ossetia, hosted a meeting with Alan Elbakiev, the Ambassador Extraordinary and Plenipotentiary of the Republic of Abkhazia in the Republic of South Ossetia, on December 5, 2018.
During the meeting the parties summed up major developments in the South Ossetian-Abkhazian cooperation achieved in 2018, discussed the perspectives of further interaction between Foreign Ministries of the two states, including at the international arena, and exchanged opinion on range of issues of the bilateral agenda.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Fri, 30/11/2018 - 16:10",South Ossetian Foreign Minister Dmitriy Medoev’s Answer to Media,"

Q:  Just several hours later after she was elected as the President of Georgia Mrs. Zurabishvili has stated that it’s not the time to speak with Russia and immediately reloaded the theme of Russian occupation. How can you comment on that?
A:  Definitely, these elections are an internal affair of Georgia and have nothing to do with our Republic. As for the question, hardly did anyone expect more “original” comment on that issue of her … In short time after the elections a noted signal has been sent to the Western partners as well as to Russia. On the other hand that signal is also good for internal use. And maybe this statement would ease the burden of expenses for the sponsors of the mega-budget project “democratic elections in Georgia” as well…
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Thu, 29/11/2018 - 20:22",Statement of the Ministry of Foreign Affairs of the Republic of South Ossetia,"
Pertaining to the situation in Syria
The Ministry of Foreign Affairs of the Republic of South Ossetia strongly condemns another air strike carried by US-led coalition in Deir ez-Zor, which resulted in victims among civilians, and perceives these actions as an open act of aggression against a sovereign state.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Wed, 28/11/2018 - 16:26",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

At the request of Ashot Astabatsyan, Head of the Representation of the International Committee of the Red Cross in the Republic of South Ossetia, a meeting with Dmitrii Medoev, the South Ossetian Foreign Minister, was held on November 28, 2018.
During the meeting Mr. Astabatsyan reported on the humanitarian programs, implemented in South Ossetia in 2018, and told about the work of the Committee, planned for 2019. Head of the Representation expressed gratitude to the Ministry as the hosting party for the consistent constructive support to the Mission in territory of the Republic.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Mon, 26/11/2018 - 11:24",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

Dmitriy Medoev, the Minister of Foreign Affairs of the Republic of South Ossetia, hosted a meeting with Vitaliy Yankovskiy, the Head of the Official Representation of the Republic of South Ossetia in the Pridnestrovian Moldavian Republic, on November 24, 2018.
Mr. Yankovskiy reported about the work of the Representation on deepening and extending the bilateral cooperation conducted in accordance with the existing agreements. Consultations on a range of issues which could promote further acceleration of efforts for further development of friendly ties between South Ossetia and Pridnestrovie were held.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Tue, 20/11/2018 - 19:43",Statement of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

November 20 saw a working meeting of the South Ossetian delegation at the GID, headed by Murat Dzhioev, the Plenipotentiary of the President of the Republic of South Ossetia on post-conflict settlement, and the Co-Chairs of the Discussions representing the EU, the OSCE and the UN.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Wed, 14/11/2018 - 17:42",Comment of the Ministry of Foreign Affairs of the Republic of South Ossetia to South Ossetia International Information Agency,"
The European Parliament has prepared a draft resolution, which, inter alia, urges the Georgian authorities to “try to extend the benefits of the AA [EU-Georgia Association Agreement] and the DCFTA [Deep and Comprehensive Free Trade Area] to the populations of Abkhazia and the Tskhinvali Region/South Ossetia”.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Mon, 12/11/2018 - 21:53",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

In framework of the working visit to Moscow Dmitrii Medoev attended new premises of the South Ossetian Embassy, which had been provided by the Russian party in accordance with the agreements, reached by Anatolii Bibilov and Vladimir Putin in November 2017 during the official visit of the President of the Republic of South Ossetia to the Russian Federation.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=1,Homepage,"  Mon, 12/11/2018 - 18:52",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

Opening ceremony of the Second Global Forum of Young Diplomats “Together to the Future”, organized by the Board of Young Diplomats under the Ministry of Foreign Affairs of the Russian Federation, chaired by Konstantin Kolpakov, was held in Sochi on November 12.
Zarina Kochieva, First Secretary of the Ministry of Foreign Affairs, and Aleksandra Tskhovrebova, Attaché of the Ministry, are representing the South Ossetian Foreign Ministry.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=2,Homepage,"  Mon, 12/11/2018 - 15:50",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

A meeting of Dmitrii Medoev, the Minister of Foreign Affairs of the Republic of South Ossetia, and Sergey Lavrov, the Minister of Foreign Affairs of the Russian Federation, as well as bilateral South Ossetian-Russian consultations took place in the Reception House of the Russian Foreign Ministry at Spiridonovka Street on November 12.
 "
South Ossetia,2021-05-26,http://www.mfa-rso.su/en/node?page=2,Homepage,"  Mon, 12/11/2018 - 12:22",Press release of the Ministry of Foreign Affairs of the Republic of South Ossetia,"

On May 17 Dmitrii Medoev, the South Ossetian Foreign Minister, participated in a solemn assembly, organized in the conference hall of the Cabinet of Ministers of the Republic of Abkhazia on the occasion of the 25th anniversary of the establishment of the Ministry of Foreign Affairs of the Republic of Abkhazia.
Raul Khadzhimba, the President of the Republic of Abkhazia, Alexey Pavlovsky, the Director of Fourth CIS Department of the MFA of the Russian Federation, and Vitaly Ignatiev, the Minister of Foreign Affairs of the Pridnestrovian Moldavian Republic, also participated in the event. 
The meeting was opened by Daur Kove, the Minister of Foreign Affairs of the Republic of Abkhazia, who welcomed the guests and told about the main directions of the foreign policy of the Republic. 
On behalf of the Ministry of Foreign Affairs of the Republic of South Ossetia Dmitrii Medoev congratulated the Abkhazian colleagues with the professional day and presented the Ministry with a painting named “The Lake of Ertso” by a famous Ossetian artist Georgii Gabaraev.
 "
